latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
43.451,4.903,316.6,1,1,2019-10-05,01:50,A,94,6.0NRT,285.4,17.5,N
35.815,-0.269,300.1,1,1,2019-10-05,01:55,A,14,6.0NRT,289.8,5.4,N
41.442,21.946,315,1.1,1,2019-10-05,09:35,T,75,6.0NRT,296.5,11.3,D
39.602,16.525,311.4,1.1,1.1,2019-10-05,09:40,T,42,6.0NRT,299.2,6.1,D
39.6,16.538,327,1.1,1.1,2019-10-05,09:40,T,80,6.0NRT,298.7,23.8,D
39.339,17.079,313.6,1.1,1,2019-10-05,09:40,T,72,6.0NRT,294.2,8.5,D
37.686,13.734,314.7,1.4,1.2,2019-10-05,09:40,T,63,6.0NRT,300.9,8.9,D
36.755,14.972,320,1.2,1.1,2019-10-05,09:40,T,72,6.0NRT,302.3,12.2,D
36.753,14.985,322.7,1.2,1.1,2019-10-05,09:40,T,76,6.0NRT,302.6,15.8,D
35.805,-0.254,318.7,1.8,1.3,2019-10-05,11:15,T,25,6.0NRT,305,11,D
37.066,-5.97,313.7,1,1,2019-10-05,11:15,T,56,6.0NRT,287.6,9.7,D
37.066,-5.248,321.1,1,1,2019-10-05,11:15,T,54,6.0NRT,302.5,11,D
37.503,-5.804,328.9,1,1,2019-10-05,11:15,T,79,6.0NRT,306.7,18,D
36.55,3.196,312,2.8,1.6,2019-10-05,11:15,T,39,6.0NRT,300.6,21.5,D
41.649,-5.678,317.5,1,1,2019-10-05,11:15,T,68,6.0NRT,302.7,7.5,D
42.215,-1.716,312.5,1.1,1.1,2019-10-05,11:15,T,61,6.0NRT,298.4,8.3,D
39.029,31.98,325.8,1.4,1.2,2019-10-05,11:15,A,81,6.0NRT,301.6,26.6,D
37.761,27.484,310.9,1,1,2019-10-05,11:15,A,61,6.0NRT,297.5,5.7,D
39.304,32.792,314.9,1.5,1.2,2019-10-05,11:15,A,64,6.0NRT,299.3,11,D
39.306,32.804,314.6,1.6,1.2,2019-10-05,11:15,A,63,6.0NRT,298.9,10.3,D
46.019,20.826,313.2,1.2,1.1,2019-10-05,11:20,A,73,6.0NRT,288.5,15.5,D
34.318,-6.627,320.2,1,1,2019-10-05,11:20,T,0,6.0NRT,305.9,8,D
35.082,-4.494,317.2,1.1,1,2019-10-05,11:20,T,63,6.0NRT,287.6,13.6,D
41.444,21.928,312.3,1.3,1.1,2019-10-05,11:20,A,67,6.0NRT,294.7,10.2,D
41.447,21.944,311.5,1.3,1.1,2019-10-05,11:20,A,63,6.0NRT,295.4,9.6,D
41.434,21.932,310.8,1.3,1.1,2019-10-05,11:20,A,48,6.0NRT,296,8.9,D
41.437,21.947,312.9,1.3,1.1,2019-10-05,11:20,A,68,6.0NRT,295.9,11.3,D
43.444,4.897,320.6,1.2,1.1,2019-10-05,12:55,A,0,6.0NRT,298.5,19,D
36.786,7.698,318,1.4,1.2,2019-10-05,12:55,A,58,6.0NRT,304.9,10.1,D
35.754,-5.371,317.8,2.5,1.5,2019-10-05,12:55,A,40,6.0NRT,298.2,29.4,D
35.747,-5.375,320,2.5,1.5,2019-10-05,12:55,A,54,6.0NRT,299.5,40.8,D
41.92,0.175,314.4,1,1,2019-10-05,12:55,A,64,6.0NRT,302.3,6.5,D
56.696,14.693,317.5,1,1,2019-10-05,20:45,T,95,6.0NRT,271.8,22.7,N
45.151,9.946,301.2,1.8,1.3,2019-10-05,20:45,T,38,6.0NRT,282,16.9,N
52.156,10.405,301.2,1.2,1.1,2019-10-05,20:45,T,39,6.0NRT,274,11.6,N
35.809,-0.263,305,1.3,1.1,2019-10-05,22:20,T,62,6.0NRT,292.5,9.8,N
